MEMBER_HIERARCHY_ID,MEMBER_ID,LEVEL,PARENT_MEMBER_ID,COMPARATOR,OPERATOR,VALID_FROM,VALID_TO
EBA_GA_GA1002,EBA_GA_EBA_BR,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_MM,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_VA,1,,>=,,1970-01-01,9999-12-31
EBA_TR_TR1002,EBA_TR_EBA_x2,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA6009,EBA_GA_EBA_TD,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_SZ,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1001,EBA_GA_EBA_HR,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA6009,EBA_GA_EBA_HN,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1009,EBA_GA_EBA_PA,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_KM,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA6008,EBA_GA_EBA_PY,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA6008,EBA_GA_EBA_LS,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_UZ,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1009,EBA_GA_EBA_LK,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_ST,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA6009,EBA_GA_EBA_SL,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_JE,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_ES,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_MC,1,,>=,,1970-01-01,9999-12-31
EBA_TR_TR1007,EBA_TR_EBA_x8,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_TR,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_GN,1,,>=,,1970-01-01,9999-12-31
