FACET_ID,FACET_TYPE,OBSERVATION_VALUE
PSTL_CD_PS,pattern,(P[1-9]\d{6})|(\d{3}-\d{3})
PSTL_CD_AD,pattern,AD\d{3}
PSTL_CD_WF,pattern,(986)\d{2}
PSTL_CD_JP,pattern,(\d{3}-\d{4})
ID_8D_DASH,pattern,\d{7}-?\d
PSTL_CD_BH,pattern,\d{3}\d?
PSTL_CD_BR,pattern,[0-9]{5}-[0-9]{3}
PSTL_CD_GG,pattern,(GY)([0-9][0-9A-HJKPS-UW]?|[A-HK-Y][0-9][0-9ABEHMNPRV-Y]?) [0-9][ABD-HJLNP-UW-Z]{2}
PSTL_CD_VI,pattern,008\d{2}(-\d{4})?
PSTL_CD_SE,pattern,[1-9]\d{2} \d{2}
PSTL_CD_FK,pattern,(FIQQ 1ZZ)
ID_CZ_8_10,pattern,(CZ)\d{10}|(CZ)\d{8}
PSTL_CD_HK,pattern,(999077)
ID_6D_L_3D,pattern,"\d{1,6}[A-Za-z]\d{0,3}"
ID_J_D_D_D,pattern,"(J)\d{2}\/\d{1,9}\/\d{4}"
PSTL_CD_NR,pattern,(NRU68)
ID_14_OR_9,pattern,\d{14}|\d{9}
PSTL_CD_HT,pattern,(HT)(\d{4})|(HT) (\d{4})
PSTL_CD_HM,pattern,(7151)
PSTL_CD_TW,pattern,(\d{3}\-\d{3})|(\d{3}[-]\d{2})|(\d{6})|(\d{3})
PSTL_CD_JM,pattern,(JM)[A-Z]{3}\d{2}
PSTL_CD_LT,pattern,((LT)[\-])?(\d{5})
PSTL_CD_PN,pattern,(PCR9 1ZZ)
PSTL_CD_PW,pattern,(96939|96940)
PSTL_CD_BM,pattern,[A-Z]{2} \d{2}
PSTL_CD_SZ,pattern,([A-Z]\d{3})
PSTL_CD_NL,pattern,[1-9]\d{3} [A-Z]{2}|[1-9]\d{3}[A-Z]{2}
PSTL_CD_NU,pattern,(9974)
PSTL_CD_KY,pattern,[K][Y][0-9]{1}[-]([0-9]){4}
PSTL_CD_FM,pattern,9694\d{1}(-\d{4})?
PSTL_CD_CA,pattern,[A-Z][0-9][A-Z] [0-9][A-Z][0-9]
PSTL_CD_LU,pattern,((L)[\-])?(\d{4})
PSTL_CD_CX,pattern,(6798)
PSTL_CD_PL,pattern,[0-9]{2}[-]([0-9]){3}
PSTL_CD_KZ,pattern,([A-Z]\d{2}[A-Z]\d[A-Z]\d)|(\d{6})
PSTL_CD_LV,pattern,((LV)[\-])?(\d{4})
PSTL_CD_BN,pattern,[A-Z]{2}\d{4}
