VARIABLE_MAPPING_ID,VARIABLE_ID,IS_SOURCE,VALID_FROM,VALID_TO
SHS_ENTITY_ID,ECB2_ENTITY_ID,true,1999-01-01,9999-12-31
SHS_FRBRNC_STTS,FRBRNC_STTS,false,1999-01-01,9999-12-31
SHS_CRRYNG_AMNT,CRRYNG_AMNT,false,1999-01-01,9999-12-31
SHS_ENTITY_NAME,NM_ENTTY_LE,false,1999-01-01,9999-12-31
SHS_LAST_COUPON_DATE,DT_CPN,false,1999-01-01,9999-12-31
SHS_GROUP_LEI,ECB2_GROUP_LEI,true,1999-01-01,9999-12-31
SHS_EARLY_RED,ECB2_EARLY_RED,true,1999-01-01,9999-12-31
SHS_LGD_DWNTRNS,LGD_DWNTRNS,false,1999-01-01,9999-12-31
SHS_ISSUER_ID,ECB2_ISSUER_ID,true,1999-01-01,9999-12-31
SHS_DEBT_TYPE,ECB2_DEBT_TYPE,true,1999-01-01,9999-12-31
SHS_ENTITY_STATUS,ISSR_STTS,false,1999-01-01,9999-12-31
SHS_GROUP_ID_TYPE,GRP_ID_TYP,false,1999-01-01,9999-12-31
SHS_INC_MRKT_VL,INCM_MRKT_VL,false,1999-01-01,9999-12-31
SHS_OTH_MRKT_VL,OTHR_MRKT_VL,false,1999-01-01,9999-12-31
SHS_INSTR_CLASS,TYP_INSTRMNT,false,1999-01-01,9999-12-31
SHS_SENIORITY_TYPE,SCRTY_LVL,false,1999-01-01,9999-12-31
SHS_SENIORITY_TYPE,SNRTY_TYP,false,1999-01-01,9999-12-31
SHS_DEBT_TYPE,DBT_TYP_DPRCTD,false,1999-01-01,9999-12-31
SHS_IDENTIFIER,ECB2_IDENTIFIER,true,1999-01-01,9999-12-31
SHS_RESID_MAT_DAYS,RSDL_MTRTY,false,1999-01-01,9999-12-31
SHS_GROUP_TYPE,ECB2_GROUP_TYPE,true,1999-01-01,9999-12-31
SHS_INSTR_CLASS,INSTTTNL_SCTR,false,1999-01-01,9999-12-31
SHS_POOLFACTOR,ECB2_POOLFACTOR,true,1999-01-01,9999-12-31
SHS_PRICE_DATE,ECB2_PRICE_DATE,true,1999-01-01,9999-12-31
SHS_EXPSR_CLSS,ECB2_EXPSR_CLSS,true,1999-01-01,9999-12-31
SHS_ISSUE_DATE,ECB2_ISSUE_DATE,true,1999-01-01,9999-12-31
SHS_AMOUNT_OUT,ECB2_AMOUNT_OUT,true,1999-01-01,9999-12-31
SHS_SHORT_NAME,ECB2_SHORT_NAME,true,1999-01-01,9999-12-31
