COMBINATION_ID,CODE,NAME,MAINTENANCE_AGENCY_ID,VERSION,VALID_FROM,VALID_TO,METRIC
F_01_02_REF_FINREP_3_0_11343_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_11345_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_11347_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_11349_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_11437_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_11447_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_11451_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_11453_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_11485_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_152663_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_152669_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_152670_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_152671_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_152673_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_152675_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_152677_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_152679_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_155640_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_32592_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_45837_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_45846_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_45849_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_45851_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_45972_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_45980_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_45981_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_45982_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_45983_REF,,,,,,,CRRYNG_AMNT
F_01_02_REF_FINREP_3_0_45984_REF,,,,,,,CRRYNG_AMNT
F_04_01_REF_FINREP_3_0_11081_REF,,,,,,,CRRYNG_AMNT
F_04_01_REF_FINREP_3_0_11082_REF,,,,,,,CRRYNG_AMNT
F_04_01_REF_FINREP_3_0_11083_REF,,,,,,,CRRYNG_AMNT
F_04_01_REF_FINREP_3_0_11084_REF,,,,,,,CRRYNG_AMNT
F_04_01_REF_FINREP_3_0_11085_REF,,,,,,,CRRYNG_AMNT
F_04_01_REF_FINREP_3_0_11086_REF,,,,,,,CRRYNG_AMNT
F_04_01_REF_FINREP_3_0_11087_REF,,,,,,,CRRYNG_AMNT
F_04_01_REF_FINREP_3_0_11088_REF,,,,,,,CRRYNG_AMNT
F_04_01_REF_FINREP_3_0_11089_REF,,,,,,,CRRYNG_AMNT
F_04_01_REF_FINREP_3_0_11090_REF,,,,,,,CRRYNG_AMNT
F_04_01_REF_FINREP_3_0_11091_REF,,,,,,,CRRYNG_AMNT
F_04_01_REF_FINREP_3_0_11106_REF,,,,,,,CRRYNG_AMNT
F_04_01_REF_FINREP_3_0_11108_REF,,,,,,,CRRYNG_AMNT
F_04_01_REF_FINREP_3_0_11110_REF,,,,,,,CRRYNG_AMNT
F_04_01_REF_FINREP_3_0_11112_REF,,,,,,,CRRYNG_AMNT
F_04_01_REF_FINREP_3_0_11114_REF,,,,,,,CRRYNG_AMNT
F_04_01_REF_FINREP_3_0_67314_REF,,,,,,,CRRYNG_AMNT
F_04_01_REF_FINREP_3_0_67315_REF,,,,,,,CRRYNG_AMNT
F_04_01_REF_FINREP_3_0_67316_REF,,,,,,,CRRYNG_AMNT
F_04_02_1_REF_FINREP_3_0_152707_REF,,,,,,,CRRYNG_AMNT
F_04_02_1_REF_FINREP_3_0_152708_REF,,,,,,,CRRYNG_AMNT
F_04_02_1_REF_FINREP_3_0_152709_REF,,,,,,,CRRYNG_AMNT
F_04_02_1_REF_FINREP_3_0_152710_REF,,,,,,,CRRYNG_AMNT
F_04_02_1_REF_FINREP_3_0_152711_REF,,,,,,,CRRYNG_AMNT
F_04_02_1_REF_FINREP_3_0_152712_REF,,,,,,,CRRYNG_AMNT
F_04_02_1_REF_FINREP_3_0_152713_REF,,,,,,,CRRYNG_AMNT
F_04_02_1_REF_FINREP_3_0_152714_REF,,,,,,,CRRYNG_AMNT
F_04_02_1_REF_FINREP_3_0_152715_REF,,,,,,,CRRYNG_AMNT
F_04_02_1_REF_FINREP_3_0_152716_REF,,,,,,,CRRYNG_AMNT
F_04_02_1_REF_FINREP_3_0_152717_REF,,,,,,,CRRYNG_AMNT
F_04_02_1_REF_FINREP_3_0_152718_REF,,,,,,,CRRYNG_AMNT
F_04_02_1_REF_FINREP_3_0_152719_REF,,,,,,,CRRYNG_AMNT
