ID,CUBE_ID,COMBINATION_ID
23196,F_19_00_b_REF_FINREP_3_0,F_19_00_b_REF_FINREP_3_0_153624_REF
23197,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_155196_REF
23198,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_154518_REF
23199,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_154540_REF
23200,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_153912_REF
23201,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_430086_REF
23202,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_154721_REF
23203,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_154705_REF
23204,F_25_02_a_REF_FINREP_3_0,F_25_02_a_REF_FINREP_3_0_433493_REF
23205,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_431057_REF
23206,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_155093_REF
23207,F_15_00_a_REF_FINREP_3_0,F_15_00_a_REF_FINREP_3_0_66981_REF
23208,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_442037_REF
23209,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_454905_REF
23210,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_154049_REF
23211,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_430709_REF
23212,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_154563_REF
23213,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_430373_REF
23214,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_441967_REF
23215,F_25_02_a_REF_FINREP_3_0,F_25_02_a_REF_FINREP_3_0_433584_REF
23216,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_430227_REF
23217,F_04_03_1_REF_FINREP_3_0,F_04_03_1_REF_FINREP_3_0_152802_REF
23218,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_430236_REF
23219,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_153607_REF
23220,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_154120_REF
23221,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_430360_REF
23222,F_18_00_e_REF_FINREP_3_0,F_18_00_e_REF_FINREP_3_0_433930_REF
23223,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_154631_REF
23224,F_04_04_1_REF_FINREP_3_0,F_04_04_1_REF_FINREP_3_0_152306_REF
23225,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_430885_REF
23226,F_25_02_a_REF_FINREP_3_0,F_25_02_a_REF_FINREP_3_0_433392_REF
23227,F_19_00_b_REF_FINREP_3_0,F_19_00_b_REF_FINREP_3_0_155281_REF
23228,F_19_00_b_REF_FINREP_3_0,F_19_00_b_REF_FINREP_3_0_431009_REF
23229,F_25_02_a_REF_FINREP_3_0,F_25_02_a_REF_FINREP_3_0_433395_REF
23230,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_431080_REF
23231,F_18_00_d_REF_FINREP_3_0,F_18_00_d_REF_FINREP_3_0_430433_REF
23232,F_15_00_b_REF_FINREP_3_0,F_15_00_b_REF_FINREP_3_0_67035_REF
23233,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_155528_REF
23234,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_154299_REF
23235,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_154369_REF
23236,F_15_00_a_REF_FINREP_3_0,F_15_00_a_REF_FINREP_3_0_149701_REF
23237,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_430205_REF
23238,F_19_00_e_REF_FINREP_3_0,F_19_00_e_REF_FINREP_3_0_429204_REF
23239,F_18_00_c_REF_FINREP_3_0,F_18_00_c_REF_FINREP_3_0_434059_REF
23240,F_15_00_a_REF_FINREP_3_0,F_15_00_a_REF_FINREP_3_0_149690_REF
23241,F_19_00_c_REF_FINREP_3_0,F_19_00_c_REF_FINREP_3_0_429979_REF
23242,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_430125_REF
23243,F_15_00_a_REF_FINREP_3_0,F_15_00_a_REF_FINREP_3_0_66989_REF
23244,F_09_01_1_REF_FINREP_3_0,F_09_01_1_REF_FINREP_3_0_456869_REF
23245,F_18_00_e_REF_FINREP_3_0,F_18_00_e_REF_FINREP_3_0_433917_REF
23246,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_154004_REF
23247,F_15_00_a_REF_FINREP_3_0,F_15_00_a_REF_FINREP_3_0_66985_REF
23248,F_08_01_a_REF_FINREP_3_0,F_08_01_a_REF_FINREP_3_0_151832_REF
23249,F_04_02_1_REF_FINREP_3_0,F_04_02_1_REF_FINREP_3_0_152708_REF
23250,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_430132_REF
