ID,MEMBER_HIERARCHY_ID,MEMBER_ID,LEVEL,PARENT_MEMBER_ID,COMPARATOR,OPERATOR,VALID_FROM,VALID_TO
110222,EBA_NC50,EBA_NC_EBA_R91_03,5,EBA_NC_EBA_R91_01,,,,
110223,EBA_NC50,EBA_NC_EBA_G47_23,5,EBA_NC_EBA_G47_2,,,,
110224,EBA_NC50,EBA_NC_EBA_F43_21,5,EBA_NC_EBA_F43_2,,,,
110225,EBA_NC50,EBA_NC_EBA_O84_25,5,EBA_NC_EBA_O84_2,,,,
110226,EBA_NC50,EBA_NC_EBA_G47_24,5,EBA_NC_EBA_G47_2,,,,
110227,EBA_NC50,EBA_NC_EBA_S95_24,5,EBA_NC_EBA_S95_2,,,,
110228,EBA_NC50,EBA_NC_EBA_K65_11,5,EBA_NC_EBA_K65_1,,,,
110229,EBA_NC50,EBA_NC_EBA_S96_03,5,EBA_NC_EBA_S96_01,,,,
110230,EBA_NC50,EBA_NC_EBA_C20_14,5,EBA_NC_EBA_C20_1,,,,
110231,EBA_NC50,EBA_NC_EBA_G47_25,5,EBA_NC_EBA_G47_2,,,,
110232,EBA_NC50,EBA_NC_EBA_S95_22,5,EBA_NC_EBA_S95_2,,,,
110233,EBA_NC50,EBA_NC_EBA_S95_23,5,EBA_NC_EBA_S95_2,,,,
110234,EBA_NC50,EBA_NC_EBA_K64_99,5,EBA_NC_EBA_K64_9,,,,
110235,EBA_NC50,EBA_NC_EBA_O84_23,5,EBA_NC_EBA_O84_2,,,,
110236,EBA_NC50,EBA_NC_EBA_G47_26,5,EBA_NC_EBA_G47_2,,,,
110237,EBA_NC50,EBA_NC_EBA_S95_21,5,EBA_NC_EBA_S95_2,,,,
110238,EBA_NC50,EBA_NC_EBA_J59_11,5,EBA_NC_EBA_J59_1,,,,
110239,EBA_NC50,EBA_NC_EBA_K64_11,5,EBA_NC_EBA_K64_1,,,,
110240,EBA_NC50,EBA_NC_EBA_N82_11,5,EBA_NC_EBA_N82_1,,,,
110241,EBA_NC50,EBA_NC_EBA_G47_59,5,EBA_NC_EBA_G47_5,,,,
110242,EBA_NC50,EBA_NC_EBA_N81_29,5,EBA_NC_EBA_N81_2,,,,
