AXIS_ID,CODE,ORIENTATION,ORDER,NAME,DESCRIPTION,TABLE_ID,IS_OPEN_AXIS
EBA_AE_EBA_A_00_01_AE_2014-03_2,,Y,,EBA_AE_EBA_A_00_01_AE_2014-03_2,,,
EBA_AE_EBA_A_00_01_AE_3_2_1,,X,,EBA_AE_EBA_A_00_01_AE_3_2_1,,,
EBA_AE_EBA_A_00_01_AE_3_2_2,,Y,,EBA_AE_EBA_A_00_01_AE_3_2_2,,,
EBA_AE_EBA_F_32_01_AE_2014-03_1,,X,,EBA_AE_EBA_F_32_01_AE_2014-03_1,,,
EBA_AE_EBA_F_32_01_AE_2014-03_2,,Y,,EBA_AE_EBA_F_32_01_AE_2014-03_2,,,
EBA_AE_EBA_F_32_01_AE_3_0_1,,X,,EBA_AE_EBA_F_32_01_AE_3_0_1,,,
EBA_AE_EBA_F_32_01_AE_3_0_2,,Y,,EBA_AE_EBA_F_32_01_AE_3_0_2,,,
EBA_AE_EBA_F_32_01_AE_3_2_1,,X,,EBA_AE_EBA_F_32_01_AE_3_2_1,,,
EBA_AE_EBA_F_32_01_AE_3_2_2,,Y,,EBA_AE_EBA_F_32_01_AE_3_2_2,,,
EBA_AE_EBA_F_32_02_a_AE_2014-03_1,,X,,EBA_AE_EBA_F_32_02_a_AE_2014-03_1,,,
EBA_AE_EBA_F_32_02_a_AE_2014-03_2,,Y,,EBA_AE_EBA_F_32_02_a_AE_2014-03_2,,,
EBA_AE_EBA_F_32_02_a_AE_3_0_1,,X,,EBA_AE_EBA_F_32_02_a_AE_3_0_1,,,
EBA_AE_EBA_F_32_02_a_AE_3_0_2,,Y,,EBA_AE_EBA_F_32_02_a_AE_3_0_2,,,
EBA_AE_EBA_F_32_02_a_AE_3_2_1,,X,,EBA_AE_EBA_F_32_02_a_AE_3_2_1,,,
EBA_AE_EBA_F_32_02_a_AE_3_2_2,,Y,,EBA_AE_EBA_F_32_02_a_AE_3_2_2,,,
EBA_AE_EBA_F_32_02_b_AE_2014-03_1,,X,,EBA_AE_EBA_F_32_02_b_AE_2014-03_1,,,
EBA_AE_EBA_F_32_02_b_AE_2014-03_2,,Y,,EBA_AE_EBA_F_32_02_b_AE_2014-03_2,,,
EBA_AE_EBA_F_32_02_b_AE_3_0_1,,X,,EBA_AE_EBA_F_32_02_b_AE_3_0_1,,,
EBA_AE_EBA_F_32_02_b_AE_3_0_2,,Y,,EBA_AE_EBA_F_32_02_b_AE_3_0_2,,,
EBA_AE_EBA_F_32_02_b_AE_3_2_1,,X,,EBA_AE_EBA_F_32_02_b_AE_3_2_1,,,
EBA_AE_EBA_F_32_02_b_AE_3_2_2,,Y,,EBA_AE_EBA_F_32_02_b_AE_3_2_2,,,
EBA_AE_EBA_F_32_03_a_AE_2014-03_1,,X,,EBA_AE_EBA_F_32_03_a_AE_2014-03_1,,,
EBA_AE_EBA_F_32_03_a_AE_2014-03_2,,Y,,EBA_AE_EBA_F_32_03_a_AE_2014-03_2,,,
EBA_AE_EBA_F_32_03_a_AE_3_0_1,,X,,EBA_AE_EBA_F_32_03_a_AE_3_0_1,,,
EBA_AE_EBA_F_32_03_a_AE_3_0_2,,Y,,EBA_AE_EBA_F_32_03_a_AE_3_0_2,,,
EBA_AE_EBA_F_32_03_a_AE_3_2_1,,X,,EBA_AE_EBA_F_32_03_a_AE_3_2_1,,,
EBA_AE_EBA_F_32_03_a_AE_3_2_2,,Y,,EBA_AE_EBA_F_32_03_a_AE_3_2_2,,,
EBA_AE_EBA_F_32_03_b_AE_2014-03_1,,X,,EBA_AE_EBA_F_32_03_b_AE_2014-03_1,,,
EBA_AE_EBA_F_32_03_b_AE_2014-03_2,,Y,,EBA_AE_EBA_F_32_03_b_AE_2014-03_2,,,
EBA_AE_EBA_F_32_03_b_AE_3_0_1,,X,,EBA_AE_EBA_F_32_03_b_AE_3_0_1,,,
EBA_AE_EBA_F_32_03_b_AE_3_0_2,,Y,,EBA_AE_EBA_F_32_03_b_AE_3_0_2,,,
EBA_AE_EBA_F_32_03_b_AE_3_2_1,,X,,EBA_AE_EBA_F_32_03_b_AE_3_2_1,,,
EBA_AE_EBA_F_32_03_b_AE_3_2_2,,Y,,EBA_AE_EBA_F_32_03_b_AE_3_2_2,,,
EBA_AE_EBA_F_32_04_a_AE_2014-03_1,,X,,EBA_AE_EBA_F_32_04_a_AE_2014-03_1,,,
EBA_AE_EBA_F_32_04_a_AE_2014-03_2,,Y,,EBA_AE_EBA_F_32_04_a_AE_2014-03_2,,,
