ID,CUBE_STRUCTURE_ID,CUBE_VARIABLE_CODE,VARIABLE_ID,ROLE,ORDER,SUBDOMAIN_ID,VARIABLE_SET_ID,MEMBER_ID,DIMENSION_TYPE,ATTRIBUTE_ASSOCIATED_VARIABLE,IS_FLOW,IS_MANDATORY,DESCRIPTION,IS_IMPLEMENTED,IS_IDENTIFIER
2130,F_18_00_b_REF_FINREP_3_0_cube_structure,F_18_00_b_REF_FINREP_3_0_cube_structure__HLD_SL_INDCTR,HLD_SL_INDCTR,,,,,,,,,,,,
2131,F_18_00_b_REF_FINREP_3_0_cube_structure,F_18_00_b_REF_FINREP_3_0_cube_structure__TYP_INSTRMNT,TYP_INSTRMNT,,,,,,,,,,,,
2132,F_18_00_b_REF_FINREP_3_0_cube_structure,F_18_00_b_REF_FINREP_3_0_cube_structure__RPYMNT_RGHTS,RPYMNT_RGHTS,,,,,,,,,,,,
2133,F_18_00_b_REF_FINREP_3_0_cube_structure,F_18_00_b_REF_FINREP_3_0_cube_structure__INSTTTNL_SCTR,INSTTTNL_SCTR,,,,,,,,,,,,
2134,F_18_00_b_REF_FINREP_3_0_cube_structure,F_18_00_b_REF_FINREP_3_0_cube_structure__MLTLTRL_DVLPMNT_BNK_INDCTR,MLTLTRL_DVLPMNT_BNK_INDCTR,,,,,,,,,,,,
2135,F_18_00_b_REF_FINREP_3_0_cube_structure,F_18_00_b_REF_FINREP_3_0_cube_structure__PRTY_RL_TYP,PRTY_RL_TYP,,,,,,,,,,,,
2136,F_18_00_b_REF_FINREP_3_0_cube_structure,F_18_00_b_REF_FINREP_3_0_cube_structure__MN_DBTR_INDCTR,MN_DBTR_INDCTR,,,,,,,,,,,,
2137,F_18_00_b_REF_FINREP_3_0_cube_structure,F_18_00_b_REF_FINREP_3_0_cube_structure__ENTRPRS_SZ,ENTRPRS_SZ,,,,,,,,,,,,
2138,F_18_00_b_REF_FINREP_3_0_cube_structure,F_18_00_b_REF_FINREP_3_0_cube_structure__PRPS,PRPS,,,,,,,,,,,,
2139,F_18_00_b_REF_FINREP_3_0_cube_structure,F_18_00_b_REF_FINREP_3_0_cube_structure__SBJCT_IMPRMNT_INDCTR,SBJCT_IMPRMNT_INDCTR,,,,,,,,,,,,
2140,F_18_00_b_REF_FINREP_3_0_cube_structure,F_18_00_b_REF_FINREP_3_0_cube_structure__NGTBL_SCRTY_INDCTR,NGTBL_SCRTY_INDCTR,,,,,,,,,,,,
2141,F_18_00_b_REF_FINREP_3_0_cube_structure,F_18_00_b_REF_FINREP_3_0_cube_structure__PRFRMNG_STTS,PRFRMNG_STTS,,,,,,,,,,,,
2142,F_18_00_b_REF_FINREP_3_0_cube_structure,F_18_00_b_REF_FINREP_3_0_cube_structure__DFLT_STTS,DFLT_STTS,,,,,,,,,,,,
2143,F_18_00_b_REF_FINREP_3_0_cube_structure,F_18_00_b_REF_FINREP_3_0_cube_structure__IMPRMNT_STTS,IMPRMNT_STTS,,,,,,,,,,,,
2144,F_25_02_a_REF_FINREP_3_0_cube_structure,F_25_02_a_REF_FINREP_3_0_cube_structure__ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN,,,,,,,,,,,,
2145,F_25_02_a_REF_FINREP_3_0_cube_structure,F_25_02_a_REF_FINREP_3_0_cube_structure__TYP_ACCNTNG_ITM,TYP_ACCNTNG_ITM,,,,,,,,,,,,
2146,F_25_02_a_REF_FINREP_3_0_cube_structure,F_25_02_a_REF_FINREP_3_0_cube_structure__HLD_SL_INDCTR,HLD_SL_INDCTR,,,,,,,,,,,,
2147,F_25_02_a_REF_FINREP_3_0_cube_structure,F_25_02_a_REF_FINREP_3_0_cube_structure__MSRMNT_MTHD,MSRMNT_MTHD,,,,,,,,,,,,
2148,F_25_02_a_REF_FINREP_3_0_cube_structure,F_25_02_a_REF_FINREP_3_0_cube_structure__SBJCT_IMPRMNT_INDCTR,SBJCT_IMPRMNT_INDCTR,,,,,,,,,,,,
2149,F_25_02_a_REF_FINREP_3_0_cube_structure,F_25_02_a_REF_FINREP_3_0_cube_structure__NGTBL_SCRTY_INDCTR,NGTBL_SCRTY_INDCTR,,,,,,,,,,,,
2150,F_25_02_a_REF_FINREP_3_0_cube_structure,F_25_02_a_REF_FINREP_3_0_cube_structure__UNDR_CNSTRCTN_INDCTR,UNDR_CNSTRCTN_INDCTR,,,,,,,,,,,,
2151,F_25_02_a_REF_FINREP_3_0_cube_structure,F_25_02_a_REF_FINREP_3_0_cube_structure__PLNNNG_PRMSSN_INDCTR,PLNNNG_PRMSSN_INDCTR,,,,,,,,,,,,
