ID,VARIABLE_MAPPING_ID,VARIABLE_ID,IS_SOURCE,VALID_FROM,VALID_TO
4416,DPM_mi290,EBA_mi290,true,2019-05-01 00:00:00,9999-12-31 00:00:00
4417,DPM_mi291,EBA_mi291,true,2019-05-01 00:00:00,9999-12-31 00:00:00
4418,DPM_mi291,ASST_SPCFC_VL,false,2019-05-01 00:00:00,9999-12-31 00:00:00
4419,DPM_bi327,EBA_bi327,true,2019-05-01 00:00:00,9999-12-31 00:00:00
4420,DPM_ei328,EBA_ei328,true,2019-05-01 00:00:00,9999-12-31 00:00:00
4421,DPM_ei328,PRMRY_ASST_CLSS_CVR_PL,false,2019-05-01 00:00:00,9999-12-31 00:00:00
4422,DPM_si294,EBA_si294,true,2019-05-01 00:00:00,9999-12-31 00:00:00
4423,DPM_si293,EBA_si293,true,2019-05-01 00:00:00,9999-12-31 00:00:00
4424,DPM_mi295,EBA_mi295,true,2019-05-01 00:00:00,9999-12-31 00:00:00
4425,DPM_mi297,EBA_mi297,true,2019-05-01 00:00:00,9999-12-31 00:00:00
4426,DPM_mi292,EBA_mi292,true,2019-05-01 00:00:00,9999-12-31 00:00:00
4427,DPM_mi292,EXCSS_CVRG_ASST_SPCFC_VL,false,2019-05-01 00:00:00,9999-12-31 00:00:00
4428,DPM_CBC,EBA_CBC,true,2019-05-01 00:00:00,9999-12-31 00:00:00
4429,DPM_CBC,CVRD_BND_PRGRM_ID,false,2019-05-01 00:00:00,9999-12-31 00:00:00
4430,DPM_BAS_MCY,EBA_BAS,true,1999-01-01 00:00:00,9999-12-31 00:00:00
4431,DPM_BAS_MCY,EBA_MCY,true,1999-01-01 00:00:00,9999-12-31 00:00:00
4432,DPM_BAS_MCY,TYP_ACCNTNG_ITM,false,1999-01-01 00:00:00,9999-12-31 00:00:00
4433,DPM_BAS_MCY,TYP_INSTRMNT,false,1999-01-01 00:00:00,9999-12-31 00:00:00
4434,DPM_BAS_MCY,NGTBL_SCRTY_INDCTR,false,1999-01-01 00:00:00,9999-12-31 00:00:00
4435,DPM_MCV_F_16.08,EBA_MCV,true,1999-01-01 00:00:00,9999-12-31 00:00:00
4436,DPM_BAS_ALO_IMS_APL,EBA_BAS,true,1999-01-01 00:00:00,9999-12-31 00:00:00
4437,DPM_BAS_ALO_IMS_APL,EBA_APL,true,1999-01-01 00:00:00,9999-12-31 00:00:00
