Name,Main Table,Filter,Related Tables,Comments
Non Negotiable bonds,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,LNG_NN_NGTBL_SCRTY_PSTN,PRTY:,
Loans and advances,INSTRMNT,OTHR_LN,INSTRMNT_RL:PRTY:CLLTRL,
