Domain_ID,Domain_Name,Num_Domain_ID,Synonyms,Logical_Type_ID,Num_Logical_Type_ID,T_Size,T_Precision,T_Scale,Native_Type,LT_Name
D26FC9AC-7DFB-0149-3341-DDD8E24AF729,Exchange tradable derivative position role type,114,EXCHNG_TRDBL_DRVTV_PSTN_RL_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
8177EC5B-7AA0-D8DC-96B1-F02F2F4896DA,Exchange tradable derivative position role type (Input Layer),115,EXCHNG_TRDBL_DRVTV_PSTN_RL_TYP_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
FCD83160-3A12-43DB-A365-054BE550FD94,Exchange tradable derivative Protection arrangement assignment type,116,EXCHNG_TRDBL_DRVTV_PRTCN_ARRNGMNT_ASSGNMNT_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
3D226884-ED12-5009-ACA3-51170053CEF8,Exchange tradable derivative type,117,EXCHNG_TRDBL_DRVTV_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
47928F95-C491-4745-9A88-DC217CE864E4,Exposure classes for the calculation of risk weight,118,EXPSR_CLSS_CLCLTN,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
6d578632-55ab-4d8d-99d7-d97232723085,Exposure classes for the calculation of risk weight (Input Layer),119,EXPSR_CLSS_CLCLTN_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
53E48821-1FB9-9C6C-80A9-B24F4838801F,Exposure with recourse indicator,120,RCRS_ANCRDT_CLLCTN,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
B4AA811B-F34F-B24C-C18A-F0EC9670DF84,External party identifier type,121,EXTRNL_PRTY_ID_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
D48531D1-F9C0-AFE2-212A-9198FA2A14E7,Failed to meet the non-performing exit criteria indicator,122,FLD_NN_PRFRMNG_EXT_CRTR_INDCTR,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
140EA319-8733-A869-48B9-70F439B6E998,Fair-valued balance sheet recognised financial liability instrument accounting standard,123,FV_BLNC_SHT_RCGNSD_FNNCL_LBLTY_INSTRMTN_ACCNTNG_STNDRD,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
